,ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Hour,Duration
112,A-5344,MapQuest,201.0,2,2016-12-02 13:52:13,2016-12-02 14:21:52,37.761818,-122.40586100000002,,,0.01,Right hand shoulder blocked due to accident on US-101 Northbound at Exit 433A Vermont St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-12-02 13:53:00,64.0,,27.0,30.19,10.0,NNW,11.5,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,13,29
113,A-5445,MapQuest,201.0,2,2016-12-03 07:16:30,2016-12-03 07:46:03,37.761818,-122.40586100000002,,,0.01,Accident on US-101 Northbound at Exit 433A Vermont St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2016-12-03 06:53:00,46.0,,66.0,30.27,10.0,Calm,,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,7,29
114,A-5520,MapQuest,241.0,2,2016-12-04 02:44:39,2016-12-04 03:29:02,37.743958,-122.405594,,,0.01,Lane blocked due to accident on US-101 Northbound at Exit 432 Potrero Ave.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2016-12-04 02:56:00,48.0,,83.0,30.18,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2,44
116,A-5764,MapQuest,241.0,2,2016-12-05 21:38:50,2016-12-05 22:08:29,37.743958,-122.405594,,,0.01,#1 lane blocked due to accident on US-101 Northbound at Exit 432 Potrero Ave.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2016-12-05 21:56:00,51.1,,71.0,30.05,10.0,West,9.2,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,21,29
119,A-5849,MapQuest,201.0,3,2016-12-06 11:56:48,2016-12-06 12:26:20,37.731361,-122.423836,,,0.01,Right hand shoulder blocked due to accident on I-280 Northbound at Alemany Blvd.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-12-06 11:56:00,54.0,,59.0,30.1,10.0,ENE,5.8,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,11,29
124,A-6111,MapQuest,201.0,2,2016-12-08 00:26:01,2016-12-08 00:55:32,37.743958,-122.405594,,,0.01,Accident on US-101 Northbound at Exit 432 Potrero Ave.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2016-12-08 00:56:00,48.9,,93.0,30.06,2.0,NE,9.2,0.14,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,0,29
125,A-6159,MapQuest,201.0,3,2016-12-08 07:12:01,2016-12-08 07:57:13,37.729954,-122.439507,,,0.01,Accident on I-280 Northbound at Exit 52 Bosworth St.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-12-08 06:56:00,50.0,,93.0,30.07,2.0,North,12.7,0.08,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,7,45
149,A-7013,MapQuest,201.0,3,2016-12-13 20:31:44,2016-12-13 21:01:23,37.73864,-122.407997,,,0.01,Lane blocked on exit ramp due to accident on I-280 Northbound at Exits 54 54A 54B US-101.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94124,US,US/Pacific,KSFO,2016-12-13 20:56:00,52.0,,93.0,30.09,4.0,SSE,3.5,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,20,29
152,A-7102,MapQuest,201.0,2,2016-12-14 12:52:47,2016-12-14 13:21:55,37.723717,-122.401115,,,0.01,Accident on US-101 Southbound near Exit 430A Mansell St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2016-12-14 12:56:00,62.1,,78.0,30.01,10.0,South,11.5,,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,12,29
153,A-7166,MapQuest,241.0,3,2016-12-14 20:21:42,2016-12-14 20:51:11,37.726311,-122.44603,,,0.01,Slow lane blocked due to accident on I-280 Southbound at Exit 51 Ocean Ave.,,I-280 S,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-12-14 20:28:00,57.0,,87.0,29.98,10.0,ESE,5.8,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,20,29
160,A-7414,MapQuest,201.0,3,2016-12-16 08:50:27,2016-12-16 09:19:22,37.798302,-122.377792,,,0.01,Accident on I-80 Westbound at Exit 4A Treasure Is.,,I-80 W,R,San Francisco,San Francisco,CA,94111,US,US/Pacific,KOAK,2016-12-16 08:53:00,51.1,,61.0,29.9,10.0,WNW,16.1,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,8,28
163,A-7513,MapQuest,241.0,2,2016-12-17 00:58:20,2016-12-17 01:27:50,37.769592,-122.416885,,,0.01,Lane blocked and queueing traffic due to accident on US-101 Van Ness Ave Southbound at Van Ness Ave.,,13th St,R,San Francisco,San Francisco,CA,94103,US,US/Pacific,KSFO,2016-12-17 00:56:00,45.0,42.6,65.0,30.15,10.0,NW,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,0,29
171,A-7973,MapQuest,203.0,3,2016-12-20 21:35:06,2016-12-20 22:04:45,37.712246,-122.453629,,,0.01,Slow lane blocked due to multi-vehicle accident on I-280 Southbound at Exit 50 San Jose Ave.,,I-280 S,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-12-20 21:56:00,52.0,,61.0,30.19,10.0,East,12.7,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,21,29
174,A-8119,MapQuest,241.0,3,2016-12-21 21:50:40,2016-12-21 22:20:22,37.789082,-122.387558,,,0.01,#2 lane blocked due to accident on I-80 Eastbound at Exits 2B 2C Harrison St.,,San Francisco-Oakland Bay Brg E,R,San Francisco,San Francisco,CA,94105,US,US/Pacific,KOAK,2016-12-21 21:53:00,45.0,43.5,82.0,30.06,10.0,NW,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,21,29
183,A-8349,MapQuest,241.0,3,2016-12-23 13:33:13,2016-12-23 14:02:25,37.731361,-122.423836,,,0.01,#1 #2 and 3 lane blocked due to accident on I-280 Northbound at Exit 53 Alemany Blvd.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-12-23 13:56:00,53.1,,86.0,29.8,8.0,West,19.6,0.04,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,13,29
184,A-8396,MapQuest,201.0,2,2016-12-23 16:14:38,2016-12-23 16:43:58,37.739956,-122.407928,,,0.01,Accident on US-101 Northbound at Exits 430A 430B 431 I-280.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2016-12-23 15:56:00,52.0,,74.0,29.82,10.0,WNW,19.6,,Mostly Cloudy,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day,16,29
187,A-8503,MapQuest,201.0,3,2016-12-23 22:53:23,2016-12-23 23:23:03,37.719067,-122.448479,,,0.01,HOV lane blocked due to accident on I-280 Northbound at Exit 51 Ocean Ave.,,I-280 S,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2016-12-23 22:56:00,48.0,,68.0,29.86,10.0,WNW,11.5,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,22,29
204,A-8976,MapQuest,201.0,3,2016-12-29 15:54:55,2016-12-29 16:24:36,37.767666,-122.395859,,,0.01,Right lane blocked due to accident on I-280 Northbound at Exit 57 King St.,,John F Foran Fwy N,R,San Francisco,San Francisco,CA,94158,US,US/Pacific,KOAK,2016-12-29 15:53:00,55.9,,60.0,30.13,10.0,Calm,,,Mostly Cloudy,False,False,False,False,False,False,True,False,False,False,False,False,False,Day,Day,Day,Day,15,29
205,A-9043,MapQuest,201.0,3,2016-12-30 00:19:28,2016-12-30 00:49:04,37.732292,-122.414909,,,0.01,Accident on I-280 Southbound at Exit 53 Alemany Blvd.,,I-280 S,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2016-12-30 00:56:00,50.0,,68.0,30.1,10.0,Calm,,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,0,29
210,A-9221,MapQuest,201.0,3,2017-01-02 13:17:06,2017-01-02 15:18:13,37.732292,-122.414909,,,0.01,Accident on I-280 Southbound at Exit 53 Alemany Blvd. On the median.,,I-280 S,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2017-01-02 12:56:00,52.0,,61.0,30.02,10.0,SSW,15.0,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,13,121
219,A-9733,MapQuest,241.0,3,2017-01-05 01:54:44,2017-01-05 02:39:19,37.721279,-122.448204,,,0.01,Lane blocked due to accident on I-280 Northbound at Exit 51 Ocean Ave.,,Geneva Ave,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2017-01-05 01:56:00,46.9,,83.0,29.99,10.0,Calm,,,Scattered Clouds,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,1,44
225,A-9931,MapQuest,201.0,3,2017-01-06 10:48:03,2017-01-06 11:17:24,37.73864,-122.407997,,,0.01,Accident on I-280 Northbound before Alemany Blvd.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94124,US,US/Pacific,KSFO,2017-01-06 10:56:00,45.0,40.6,48.0,30.15,10.0,ENE,8.1,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,10,29
228,A-10030,MapQuest,201.0,2,2017-01-06 18:55:05,2017-01-06 19:24:52,37.761818,-122.40586100000002,,,0.01,Accident on US-101 Northbound at Exit 433A Vermont St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2017-01-06 18:53:00,46.9,,63.0,30.04,10.0,ENE,9.2,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,18,29
231,A-10266,MapQuest,201.0,3,2017-01-08 07:25:37,2017-01-08 07:55:17,37.729954,-122.439507,,,0.01,Right hand shoulder blocked due to accident on I-280 Southbound at Exit 52 Bosworth St.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2017-01-08 07:10:00,63.0,,81.0,29.85,8.0,South,23.0,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,7,29
239,A-10496,MapQuest,201.0,3,2017-01-09 21:27:27,2017-01-09 21:57:03,37.732086,-122.43196100000002,,,0.01,Slow lane blocked due to accident on I-280 Southbound at Exit 52 Bosworth St.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2017-01-09 21:56:00,55.9,,80.0,30.04,10.0,South,13.8,0.02,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night,21,29
242,A-10728,MapQuest,201.0,3,2017-01-11 04:26:11,2017-01-11 05:10:52,37.721279,-122.448204,,,0.01,Right hand shoulder blocked due to accident on I-280 Southbound at Exit 51 Ocean Ave.,,Geneva Ave,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2017-01-11 04:56:00,54.0,,77.0,29.81,8.0,SSW,16.1,0.0,Light Rain,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,4,44
259,A-11257,MapQuest,201.0,3,2017-01-15 23:31:16,2017-01-16 00:00:47,37.721279,-122.448204,,,0.01,Accident on I-280 Northbound at Exit 51 Ocean Ave.,,Geneva Ave,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2017-01-15 23:56:00,45.0,,82.0,30.16,10.0,Calm,,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,23,29
261,A-11310,MapQuest,201.0,2,2017-01-16 15:47:33,2017-01-16 16:17:10,37.743958,-122.405594,,,0.01,Accident on US-101 Northbound at Exit 432 Potrero Ave.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2017-01-16 15:56:00,53.1,,66.0,30.1,10.0,NE,5.8,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15,29
266,A-11590,MapQuest,241.0,2,2017-01-18 15:52:38,2017-01-18 16:22:22,37.761818,-122.40586100000002,,,0.01,#1 lane blocked due to accident on US-101 Northbound at Exit 433A Vermont St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94107,US,US/Pacific,KOAK,2017-01-18 15:53:00,52.0,,86.0,29.77,10.0,SE,32.2,0.02,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,15,29
274,A-11901,MapQuest,201.0,3,2017-01-19 22:05:33,2017-01-19 22:35:33,37.722725,-122.447952,,,0.01,Accident on I-280 Southbound at Exit 51 Ocean Ave.,,I-280 S,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2017-01-19 21:56:00,52.0,,80.0,29.74,10.0,SSE,15.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,22,30
276,A-11940,MapQuest,201.0,3,2017-01-20 07:37:06,2017-01-20 08:21:34,37.722935,-122.447701,,,0.01,Middle lane blocked due to accident on I-280 Southbound before Exit 51 Ocean Ave.,,Ocean Ave,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2017-01-20 07:56:00,50.0,,86.0,29.35,10.0,SSW,3.5,0.06,Overcast,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day,7,44
279,A-12035,MapQuest,201.0,3,2017-01-20 18:47:14,2017-01-20 19:16:58,37.719143,-122.448471,,,0.01,Accident on I-280 Northbound at Exit 51 Ocean Ave.,,I-280 S,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2017-01-20 18:56:00,50.0,,74.0,29.41,10.0,WSW,12.7,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,18,29
282,A-12177,MapQuest,201.0,2,2017-01-22 01:12:35,2017-01-22 01:42:12,37.724007,-122.401474,,,0.01,Right hand shoulder blocked due to accident on US-101 Southbound at Exit 430A Mansell St.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2017-01-22 00:56:00,51.1,,77.0,29.67,7.0,SE,29.9,0.02,Light Rain,False,False,False,False,True,False,False,False,True,False,False,False,False,Night,Night,Night,Night,1,29
283,A-12220,MapQuest,201.0,3,2017-01-22 13:11:13,2017-01-22 13:40:43,37.732292,-122.414909,,,0.01,#4 lane blocked due to accident on I-280 Southbound at Exit 53 Alemany Blvd.,,I-280 S,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2017-01-22 12:56:00,57.0,,55.0,29.71,10.0,South,9.2,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,13,29
286,A-12313,MapQuest,229.0,2,2017-01-23 12:09:35,2017-01-23 12:54:23,37.723717,-122.401115,,,0.01,Slow traffic due to accident on US-101 Southbound at Exit 430A Mansell St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2017-01-23 11:56:00,50.0,,74.0,29.88,9.0,Calm,,0.03,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,12,44
288,A-12403,MapQuest,201.0,3,2017-01-23 23:58:02,2017-01-24 00:27:47,37.721279,-122.448204,,,0.01,Accident on I-280 Southbound at Exit 51 Ocean Ave.,,Geneva Ave,R,San Francisco,San Francisco,CA,94112,US,US/Pacific,KSFO,2017-01-23 23:56:00,45.0,40.6,86.0,29.9,10.0,SSE,8.1,,Scattered Clouds,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,23,29
289,A-12414,MapQuest,201.0,2,2017-01-24 03:35:37,2017-01-24 04:20:04,37.723717,-122.401115,,,0.01,Right hand shoulder blocked due to accident on US-101 Southbound at Exit 430A Mansell St.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2017-01-24 03:56:00,42.1,38.4,89.0,29.93,10.0,SE,5.8,,Scattered Clouds,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,3,44
290,A-12499,MapQuest,201.0,2,2017-01-24 18:14:36,2017-01-24 18:44:23,37.743958,-122.405594,,,0.01,Accident on US-101 Northbound at Exit 432 Potrero Ave.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2017-01-24 17:56:00,50.0,,71.0,30.15,10.0,West,11.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,18,29
294,A-12683,MapQuest,241.0,2,2017-01-25 19:22:58,2017-01-25 19:52:40,37.743958,-122.405594,,,0.01,#5 lane blocked due to accident on US-101 Northbound at Exit 432 Potrero Ave.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2017-01-25 18:56:00,50.0,,71.0,30.35,10.0,West,6.9,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,19,29
295,A-12693,MapQuest,201.0,3,2017-01-25 20:14:26,2017-01-25 21:13:33,37.731846,-122.417992,,,0.01,Slow lane blocked due to accident on I-280 Eastbound near Exit 53 Alemany Blvd.,,John F Foran Fwy,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2017-01-25 19:56:00,50.0,,71.0,30.36,10.0,West,8.1,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,20,59
297,A-12725,MapQuest,241.0,3,2017-01-25 22:41:11,2017-01-25 23:10:52,37.727306,-122.402786,,,0.01,#1&amp;#2 lane blocked due to accident on I-280 Southbound at Exits 54 54A 54B US-101.,,James Lick Fwy S,R,San Francisco,San Francisco,CA,94134,US,US/Pacific,KSFO,2017-01-25 22:56:00,48.0,,80.0,30.4,10.0,West,4.6,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,22,29
300,A-12811,MapQuest,241.0,2,2017-01-26 14:58:36,2017-01-26 15:28:12,37.743958,-122.405594,,,0.01,#1 lane blocked due to accident on US-101 Northbound at Exit 432 Potrero Ave.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2017-01-26 14:56:00,54.0,,66.0,30.42,10.0,NNE,6.9,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,14,29
301,A-12927,MapQuest,241.0,2,2016-10-20 22:55:14,2016-10-20 23:24:46,37.743958,-122.405594,,,0.01,#1&amp;#2 lane blocked due to accident on US-101 Northbound at Exit 432 Potrero Ave.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2016-10-20 22:56:00,62.1,,78.0,30.01,10.0,WNW,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,22,29
303,A-13066,MapQuest,241.0,3,2016-10-21 20:39:03,2016-10-21 21:08:31,37.807869,-122.367416,,,0.01,3 middle lane blocked due to accident on I-80 Eastbound at Exits 2B 2C Harrison St.,,I-80 W,R,San Francisco,San Francisco,CA,94130,US,US/Pacific,KOAK,2016-10-21 20:53:00,62.1,,84.0,29.9,10.0,Calm,,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,20,29
305,A-13096,MapQuest,201.0,2,2016-10-22 04:50:48,2016-10-22 05:20:29,37.740299,-122.40786,,,0.01,Right hand shoulder blocked due to accident on US-101 Northbound at Exits 430A 430B 431 I-280.,,James Lick Fwy N,R,San Francisco,San Francisco,CA,94110,US,US/Pacific,KSFO,2016-10-22 04:56:00,55.9,,90.0,29.88,8.0,West,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,4,29
